drop_file,min_distance_km,max_distance_km,note
D20230823_173436_PQC.nc,1670.94,1674.07,
D20230823_175034_PQC.nc,1556.35,1557.24,
D20230825_135841QC.nc,1726.94,1729.20,
D20230825_135841_PQC.nc,1726.94,1729.20,
D20230825_142325_PQC.nc,1791.10,1793.02,
D20230825_144026_PQC.nc,1892.07,1895.86,
D20230825_145646_PQC.nc,2009.53,2013.21,
D20230825_151404_PQC.nc,2018.37,2020.28,
D20230825_152953_PQC.nc,1906.20,1908.11,
D20230825_154630_PQC.nc,1785.43,1787.35,
D20230825_174958_PQC.nc,1863.37,1865.67,
D20230825_175944_PQC.nc,1921.63,1925.24,
D20230826_114130_PQC.nc,2087.26,2089.31,
D20230826_115533_PQC.nc,1981.60,1983.60,
D20230826_121002_PQC.nc,1914.94,1916.25,
D20230826_121735_PQC.nc,1860.19,1861.17,
D20230826_122027_PQC.nc,1839.36,1840.34,
D20230826_122904QC.nc,1775.44,1777.77,
D20230826_124303_PQC.nc,1671.71,1674.37,
D20230826_130715_PQC.nc,1738.84,1739.60,
D20230826_131840_PQC.nc,1787.57,1789.59,
D20230826_132526_PQC.nc,1822.08,1826.32,
D20230826_132928_PQC.nc,1840.38,1841.36,
D20230826_133204_PQC.nc,1843.24,1851.33,
D20230826_134120_PQC.nc,1889.68,1895.45,
D20230826_135524_PQC.nc,1968.81,1972.29,
D20230826_142358_PQC.nc,1801.16,1805.12,
D20230826_143924_PQC.nc,1806.24,1813.40,
D20230826_145304_PQC.nc,1821.19,1822.17,
D20230826_145734_PQC.nc,1841.72,1847.47,
D20230826_152241_PQC.nc,1793.85,1802.69,
D20230826_152731_PQC.nc,1808.19,1809.48,
D20230826_152952_PQC.nc,1813.28,1817.85,
D20230826_153436_PQC.nc,1634.11,1637.03,
D20230826_154050_PQC.nc,1839.22,1841.53,
D20230826_154649_PQC.nc,1688.94,1700.27,
D20230826_155404_PQC.nc,1874.53,1876.45,
D20230826_155810_PQC.nc,1832.02,1847.78,
D20230826_162400_PQC.nc,1913.33,1919.49,
D20230826_162956_PQC.nc,1841.09,1849.74,
D20230826_163526_PQC.nc,1771.86,1778.98,
D20230826_164048_PQC.nc,1710.68,1717.42,
D20230826_164647_PQC.nc,1611.94,1643.98,
D20230826_170233_PQC.nc,1626.45,1630.65,
D20230826_170654_PQC.nc,1672.33,1677.96,
D20230826_171318_PQC.nc,1708.85,1714.90,
D20230826_172118_PQC.nc,1752.19,1761.43,
D20230826_172929_PQC.nc,1802.86,1812.33,
D20230826_174519_PQC.nc,1905.24,1916.40,
D20230826_175217_PQC.nc,1964.52,1975.40,
D20230826_180236_PQC.nc,2000.28,2008.12,
D20230826_181442_PQC.nc,2048.24,2049.95,
D20230826_182526_PQC.nc,2082.20,2087.33,
D20230826_183213_PQC.nc,1999.15,2003.99,
D20230826_184028_PQC.nc,1899.53,1904.56,
D20230826_184911_PQC.nc,1794.73,1804.83,
D20230826_185250_PQC.nc,1748.86,1768.36,
D20230826_185736_PQC.nc,1684.68,1688.06,
D20230826_190548_PQC.nc,1599.23,1608.35,
D20230826_191349_PQC.nc,1507.32,1515.62,
D20230826_214732_PQC.nc,1935.43,1936.36,
D20230826_220143QC.nc,1822.25,1824.07,
D20230826_220143_PQC.nc,1822.25,1824.07,
D20230826_221038_PQC.nc,1755.43,1756.41,
D20230826_221242_PQC.nc,1740.51,1741.49,
D20230826_221508_PQC.nc,1721.59,1722.80,
D20230826_222752_PQC.nc,1624.72,1625.70,
D20230826_223825_PQC.nc,1543.22,1544.87,
D20230826_230345_PQC.nc,1662.95,1664.70,
D20230826_231614_PQC.nc,1693.83,1698.75,
D20230826_232531_PQC.nc,1719.08,1725.88,
D20230826_233132_PQC.nc,1728.28,1736.01,
D20230826_234302_PQC.nc,1767.11,1771.54,
D20230826_235122_PQC.nc,1796.02,1800.40,
D20230826_235434_PQC.nc,1807.71,1812.08,
D20230826_235540_PQC.nc,1807.28,1811.64,
D20230827_002639_PQC.nc,1617.34,1619.11,
D20230827_002737_PQC.nc,1619.79,1624.31,
D20230827_003624_PQC.nc,1655.42,1658.86,
D20230827_004619_PQC.nc,1695.36,1701.65,
D20230827_004920_PQC.nc,1714.51,1715.11,
D20230827_005206_PQC.nc,1721.17,1726.84,
D20230827_010220_PQC.nc,1755.54,1760.24,
D20230827_011643_PQC.nc,1652.71,1656.40,
D20230827_012622_PQC.nc,1688.61,1693.63,
D20230827_013133_PQC.nc,1714.91,1720.84,
D20230827_014434_PQC.nc,1771.11,1774.64,
